what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1362668911183
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1362668911184
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1362668911185
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1362668911186
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1362668911187
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1362668911187
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1362668911188
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1362668911189
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1362668911189
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1362668911190
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1362668911191
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1362668911192
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1362668911193
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1362668911193
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1362668911194
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1362668911195
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1362668911195
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1362668911196
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1362668911196
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1362668911197
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1362668911198
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1362668911199
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1362668911200
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1362668911201
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1362668911201
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1362668911202
os,sysinfo,,,"win32",1362668911206
arch,sysinfo,,,"x86_64",1362668911206
ws,sysinfo,,,"win32",1362668911206
locale,sysinfo,,,"en_US",1362668911206
processors,sysinfo,,,"8",1362668911206
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362668911206
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1362668911206
java.specification.name,sysinfo,,,"Java Platform API Specification",1362668911206
java.specification.vendor,sysinfo,,,"Oracle Corporation",1362668911206
java.specification.version,sysinfo,,,"1.7",1362668911206
java.vendor,sysinfo,,,"Oracle Corporation",1362668911206
java.version,sysinfo,,,"1.7.0_01",1362668911206
java.vm.info,sysinfo,,,"mixed mode",1362668911206
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1362668911206
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362668911206
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1362668911206
java.vm.specification.version,sysinfo,,,"1.7",1362668911206
java.vm.vendor,sysinfo,,,"Oracle Corporation",1362668911206
