what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1367954331685
locale,sysinfo,,,"en_US",1367954331685
processors,sysinfo,,,"8",1367954331685
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367954331685
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1367954331685
java.specification.name,sysinfo,,,"Java Platform API Specification",1367954331685
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367954331685
java.specification.version,sysinfo,,,"1.7",1367954331685
java.vendor,sysinfo,,,"Oracle Corporation",1367954331685
java.version,sysinfo,,,"1.7.0_01",1367954331685
java.vm.info,sysinfo,,,"mixed mode",1367954331685
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1367954331685
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367954331685
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367954331685
java.vm.specification.version,sysinfo,,,"1.7",1367954331685
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367954331685
java.vm.version,sysinfo,,,"21.1-b02",1367954331685
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1367954331835
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1367954331868
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1367954331906
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1367954332577
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1367954332607
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1367954332737
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1367954332770
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1367954332771
started,bundle,org.eclipse.jst.jsf.common,1.2.0.v20100604,"org.eclipse.jst.jsf.common",1367954332984
